,attraction__id,attraction__name,attraction__location__lat,attraction__location__lng,attraction__opening__hours,attraction__rating,results__type
211,swKXaURwqdSrSTcpHsxdbA,Lowerline,40.674209999999995,-73.96324,1700.0,4.5,Cajun/Creole
212,h5WkewI6U7NjLB_n6WgdvQ,HandCraft Kitchen & Cocktails,40.74103,-73.98132,1600.0,4.0,Cocktail Bars
213,JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,40.761379999999996,-73.99070999999999,1100.0,4.0,Bars
214,04NdwZnSFH3FXFBtwCrrAg,Home Sweet Harlem,40.819320000000005,-73.95217,1500.0,4.0,Breakfast & Brunch
215,m2Zsy2UAkcDf0cRzk2Yoqw,Madame Vo,40.72925,-73.98612,1200.0,4.0,Vietnamese
216,shTLI1GCcZ9rosFdt8d2Xg,Purbird,40.67985,-73.97518000000001,1130.0,4.0,American (New)
217,diz6_4TVSP6EdWEZCZ0Acg,Kaoru,40.75202,-73.96977,1130.0,4.5,Japanese
218,JRmQRFEEnSUdAcesHun9AQ,ICHIRAN - Brooklyn,40.707587,-73.93327099999999,1100.0,3.5,Ramen
219,zWem2SAbFc7lIYR2y9DE0g,Harlem Public,40.828717774457004,-73.94844122544241,1100.0,4.0,American (New)
220,RVKZSIN16FNL0ZXD6OUMrA,The Sosta,40.72075,-73.9957,1200.0,4.0,Italian
221,guLhJRVpZAYrkSbFuyb5_Q,honeygrow,40.6925,-73.99141,1030.0,4.0,Salad
222,DZaN3bNWfwcm__sNw5bvDg,Daniel,40.76677367978579,-73.967607,1730.0,4.5,French
223,ssGhu4n3emZ9kEPVf371IQ,Cookshop,40.7454251,-74.0056084,800.0,4.0,American (New)
224,30pqvzHrCNmnodJCRyzrTg,Snacky,40.71439,-73.9607,1800.0,4.0,Asian Fusion
225,AgAkUVLN_axMY-bzbNCfCw,Yuca Bar,40.7262,-73.9836,1000.0,4.0,Latin American
226,mKmKId5enFqX7Tt8A6xgvQ,Berg'n,40.677258,-73.957327,800.0,3.5,Bars
227,wXpCNNTT2kqh-fTnSWXdEA,Shake Shack,40.780820706057796,-73.97655167234679,1030.0,4.0,Burgers
228,_URXTaYBbd2XX5qJbDkKAg,Taco Morelos,40.71783,-73.95773,,4.0,Mexican
229,SjG7CnTIuUBIo9T4BThkGQ,Employees Only,40.73343,-74.00607,1800.0,4.0,American (New)
230,VLalQ0Liwa87176u3Fx3SQ,Denizen,40.716268299999996,-73.9554395,1700.0,4.5,Wine Bars
231,S-619sO8qSxQcis0DBHvNw,Cafe Hanamizuki,40.7474471,-73.9915989,1100.0,4.0,Cafes
232,Y_KEf5yigAenMZJcXKP1Ug,Philly Pinoy,40.6792305,-74.011241,,5.0,Imported Food
233,uhXL4Hq63xakHg1O26ZsdQ,La Caye Restaurant,40.687133,-73.977615,1700.0,3.5,Haitian
234,Aazjxg21VH2cncWYBAv68Q,Sottocasa Pizzeria,40.688285,-73.989006,1700.0,4.5,Pizza
235,OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,40.718624,-73.997665,1130.0,4.0,Italian
236,BXiX5-ce4NNxsw7eUDZeOg,Giovanni's Brooklyn Eats,40.660134,-73.983551,1100.0,4.0,Italian
237,bL6gcUWgFt7mOZYT_FaGSg,Shake Shack,40.758412133689,-73.9891822636127,1100.0,4.0,Burgers
238,FAALx4s7PBtCZWKFqRNPNQ,Tiger Box,40.696337899999996,-73.972758,1000.0,4.0,Korean
239,wQGC93ETmivIlCbxLuAVcA,St. Mazie,40.71252,-73.95586999999999,1800.0,4.0,Bars
240,41kYchR12Eclmp1w_EzpfA,Wafa's,40.7117118835449,-73.9409408569336,1100.0,4.5,Lebanese
241,V9cBgn2RFLurwg6lwuLH7w,The Wei,40.68983,-73.98170999999999,1130.0,4.0,Chinese
242,3hCi3e-Ea62tdSdcdioR1g,El Rinconcito,40.72553,-73.977,,4.5,Latin American
243,HqVdTKCpOZWrCvUF9rG2sA,Brennan & Carr,40.600190000000005,-73.9422,1100.0,4.0,American (Traditional)
244,r-EDS_eO70HUgDmOk5_8Qw,Juniper,40.752472,-73.991463,1130.0,4.0,Cocktail Bars
